office,conferenceRoom,hallway,auditorium,openspace,lobby,lounge,pantry,copyRoom,storage,WC
0.028847402,0.061886042,0.112955876,0.038189385,0.0324054,0.063312314,0.08145518,0.08702019,0.21066347,0.06982996,0.21343477
0.012389543,0.060409863,0.17389984,0.018074052,0.006973788,0.042289626,0.032676376,0.063363135,0.10837452,0.055061813,0.42648742
0.0122120455,0.051522132,0.50886714,0.017430348,0.0032731828,0.019756442,0.007525279,0.01688887,0.022710675,0.0720599,0.26775402
0.02820412,0.07416717,0.69983685,0.017335746,0.002926366,0.013146042,0.0021945515,0.017279347,0.0019441741,0.047452647,0.09551298
0.057165153,0.10559813,0.64186645,0.025651108,0.00366109,0.014351508,0.00283531,0.03866393,0.0026135764,0.047697797,0.059895888
0.10777177,0.14094529,0.50070626,0.038834974,0.0064096106,0.0197731,0.0045716297,0.07801003,0.0036174122,0.057353362,0.04200659
0.14349742,0.20128736,0.3002322,0.059779473,0.007608672,0.015579788,0.0038499844,0.17528519,0.002394425,0.059275728,0.031209778
0.06466199,0.15381044,0.31878194,0.072980426,0.0110649895,0.026637042,0.0138575835,0.15126899,0.019502511,0.07885221,0.08858182
0.019783847,0.14719953,0.20418249,0.07348206,0.0054523996,0.032300647,0.021732243,0.16780664,0.029170921,0.07967408,0.21921508
0.0058906055,0.09861478,0.1250938,0.07342641,0.0041442425,0.030318247,0.020363213,0.19726154,0.029835286,0.058874264,0.35617754
0.002150546,0.060002472,0.13006821,0.054483697,0.0022659337,0.027739597,0.019476125,0.0933599,0.027130669,0.055868067,0.5274548
0.0010830323,0.04757752,0.18542081,0.032899335,0.0010892467,0.017639622,0.010005127,0.03722301,0.010169195,0.05221505,0.6046779
0.00037291402,0.028019948,0.13934098,0.024980271,0.00055789243,0.014943907,0.0063100006,0.016139396,0.006212822,0.04045558,0.7226664
0.0005440342,0.02713373,0.5137244,0.009376667,0.00015730842,0.0065755066,0.001463148,0.0029488774,0.0012560633,0.049335893,0.38748443
0.00024346588,0.013935424,0.6316266,0.0034569884,4.1189618e-05,0.0028798801,0.00022065903,0.0005622411,0.00022295561,0.03672309,0.31008738
9.8652825e-05,0.007588845,0.73282176,0.0013007156,9.252301e-06,0.0011111995,2.9460512e-05,0.000112194255,2.9010518e-05,0.024094185,0.23280476
3.5435613e-05,0.0044395574,0.73375285,0.0005937514,2.3142647e-06,0.0005268046,5.367681e-06,3.149161e-05,6.57556e-06,0.016841277,0.24376458
1.2171506e-05,0.0026592684,0.70472044,0.00029301597,5.957035e-07,0.00026483808,1.0449678e-06,9.907215e-06,2.046508e-06,0.01242132,0.2796154
3.825711e-06,0.0014338339,0.6612106,0.00014342052,1.313567e-07,0.00012203579,2.0681497e-07,2.9693058e-06,5.8722907e-07,0.008224587,0.32885775
1.2782059e-06,0.000802056,0.62695897,7.329354e-05,3.128275e-08,6.0330516e-05,4.5719382e-08,8.5633684e-07,1.6009109e-07,0.0057254876,0.36637735
4.1663463e-07,0.00044952173,0.5860748,3.6456426e-05,6.9624932e-09,2.9424571e-05,1.074918e-08,2.6068474e-07,4.6338226e-08,0.0040446385,0.40936434
1.3270484e-07,0.00025021643,0.5557542,1.8627226e-05,1.5979514e-09,1.4264783e-05,2.3924946e-09,7.7239406e-08,1.2008147e-08,0.0029258984,0.44103655
4.2999627e-08,0.00014462466,0.52329075,9.532092e-06,3.7395403e-10,7.001016e-06,5.5841975e-10,2.4282723e-08,3.127826e-09,0.0021375467,0.47441044
1.3283039e-08,8.257379e-05,0.47949287,4.926065e-06,8.408363e-11,3.4456045e-06,1.2315642e-10,7.395522e-09,8.292926e-10,0.0015433031,0.51887286
1.6066288e-08,9.342061e-05,0.6966251,7.273111e-06,1.3122266e-10,3.220272e-06,4.709904e-11,5.5320633e-09,2.6425873e-10,0.0023091482,0.30096185
1.0884085e-08,5.554797e-05,0.74386305,1.4370234e-05,2.2588593e-10,2.3016858e-06,6.298678e-11,3.5416148e-09,1.8228749e-10,0.0020065901,0.25405806
5.295563e-09,3.9116847e-05,0.7797278,1.3743831e-05,9.93402e-11,1.496883e-06,2.9936942e-11,1.582338e-09,6.900205e-11,0.0017133411,0.21850443
4.6482223e-09,4.0162697e-05,0.8012809,2.1654105e-05,1.5898792e-10,1.4398103e-06,3.4161944e-11,1.6332924e-09,5.6124064e-11,0.0020850734,0.1965707
2.7082345e-09,3.4383225e-05,0.81786066,2.2844022e-05,1.1220237e-10,9.738945e-07,1.9779602e-11,1.4453123e-09,3.379068e-11,0.0020246676,0.18005636
1.5531838e-09,2.8045117e-05,0.8197976,2.6383435e-05,8.9855165e-11,7.344369e-07,1.05147896e-11,9.737259e-10,1.4771098e-11,0.0019422811,0.17820497
9.646954e-10,2.8304054e-05,0.77777994,3.160344e-05,8.400107e-11,6.744677e-07,8.406098e-12,8.506525e-10,9.659502e-12,0.002084646,0.22007483
4.7820964e-10,2.5507645e-05,0.67452085,4.091045e-05,7.141082e-11,6.251999e-07,6.9251475e-12,7.877791e-10,8.5851135e-12,0.002219802,0.3231923
1.763199e-10,1.8282208e-05,0.47255567,4.8068174e-05,5.917354e-11,5.4081676e-07,8.55835e-12,7.1310946e-10,7.698598e-12,0.0016293087,0.5257481
5.4280497e-11,1.5738216e-05,0.26176217,5.7573387e-05,4.6486523e-11,4.0806057e-07,6.2921786e-12,8.781609e-10,5.4073183e-12,0.0013475649,0.7368165
1.5812683e-11,1.1752325e-05,0.124445125,7.2076145e-05,5.0462568e-11,2.7108916e-07,6.019611e-12,1.1651995e-09,4.3102106e-12,0.0010392643,0.8744315
4.897112e-12,8.0271175e-06,0.068542704,7.8679375e-05,3.4436187e-11,1.7422873e-07,3.991208e-12,1.0301793e-09,2.9032915e-12,0.00076849404,0.9306019
1.5853564e-12,6.150843e-06,0.035040863,0.000103127495,2.8878677e-11,1.1567318e-07,2.883793e-12,1.0383879e-09,1.7667859e-12,0.0005512679,0.96429855
4.607372e-13,4.076217e-06,0.017337319,0.00011995616,1.9505734e-11,7.259445e-08,2.0833198e-12,9.067628e-10,1.3442075e-12,0.00037965164,0.98215884
1.5835213e-13,2.7866206e-06,0.010690134,0.00012793779,1.2854101e-11,4.4959346e-08,1.2272623e-12,7.457518e-10,7.9448525e-13,0.00027693345,0.98890215
6.020178e-14,1.969251e-06,0.006777553,0.00014018346,9.099463e-12,3.003496e-08,7.927293e-13,6.1975647e-10,4.757662e-13,0.00021153389,0.99286866
2.283438e-14,1.431565e-06,0.0042480323,0.00014986057,5.883846e-12,2.0018705e-08,4.8453483e-13,4.868163e-10,2.9481834e-13,0.0001561341,0.9954446
8.288272e-15,9.681872e-07,0.0025821493,0.00014547125,3.686908e-12,1.2892424e-08,2.7975414e-13,3.6165662e-10,1.8330109e-13,0.00011395823,0.9971574
3.6468275e-15,6.9994434e-07,0.001920029,0.00013656012,2.25133e-12,8.625044e-09,1.6119068e-13,2.565542e-10,1.0808588e-13,9.085794e-05,0.9978518
7.207127e-16,2.4765922e-07,0.0010548913,4.082081e-05,3.4370984e-13,2.7582596e-09,3.7617163e-14,7.4931734e-11,2.929315e-14,3.6465884e-05,0.9988676
3.0452706e-16,1.4600988e-07,0.0009369941,1.3213682e-05,6.46851e-14,1.5246249e-09,9.639793e-15,2.3954968e-11,1.0807758e-14,1.999626e-05,0.9990296
1.5614952e-16,9.20813e-08,0.00081488857,4.5964694e-06,1.6556992e-14,9.49531e-10,3.0585443e-15,9.729601e-12,5.469318e-15,1.5403653e-05,0.999165
9.945366e-17,7.231901e-08,0.0010676944,1.6296216e-06,3.992793e-15,5.239059e-10,5.4544385e-16,3.4100017e-12,1.3316604e-15,1.2281354e-05,0.99891835
8.121445e-17,5.920773e-08,0.0016043576,6.546205e-07,1.107351e-15,3.4314052e-10,1.2675946e-16,1.0968131e-12,3.7566938e-16,1.0919314e-05,0.998384
5.2513257e-17,4.4261302e-08,0.0020931615,2.168072e-07,1.9817995e-16,1.8881723e-10,2.3940369e-17,3.216672e-13,8.325337e-17,8.273952e-06,0.9978982
2.9461765e-17,2.8734549e-08,0.0022648997,7.439455e-08,4.3833472e-17,1.094411e-10,5.241276e-18,9.470276e-14,2.1703861e-17,6.315548e-06,0.99772865
1.7840107e-17,1.998216e-08,0.0026824356,2.8065859e-08,1.0126245e-17,6.559303e-11,1.307781e-18,3.296465e-14,6.7188515e-18,5.1705915e-06,0.9973122
1.03475365e-17,1.3852859e-08,0.003108964,1.2087656e-08,2.4711611e-18,4.0092006e-11,3.441904e-19,1.1813625e-14,2.1777496e-18,4.189521e-06,0.99688697
6.0470034e-18,9.91444e-09,0.003501069,5.30876e-09,6.231008e-19,2.5064546e-11,9.5007497e-20,4.259054e-15,7.59005e-19,3.416441e-06,0.9964956
3.2415713e-18,6.8219426e-09,0.0037713535,2.242043e-09,1.4351438e-19,1.4845776e-11,2.432272e-20,1.4771828e-15,2.4624745e-19,2.6800485e-06,0.99622595
6.62092e-18,1.491875e-08,0.010017873,6.088742e-09,3.8282842e-19,2.5234254e-11,1.5368202e-20,1.7172264e-15,1.6343219e-19,8.520401e-06,0.9899736
5.9982977e-18,1.26446285e-08,0.0188818,1.41450345e-08,6.384274e-19,2.2743224e-11,1.49401e-20,1.3368468e-15,9.6910186e-20,1.2673225e-05,0.98110557
3.03402e-18,9.798091e-09,0.022665579,2.31396e-08,5.171386e-19,1.646396e-11,7.647412e-21,8.2024315e-16,3.673374e-20,1.1830545e-05,0.9773226
1.4703833e-18,7.859215e-09,0.017844334,3.4108023e-08,5.6908036e-19,1.21428674e-11,5.903649e-21,7.635452e-16,2.4563844e-20,1.0623417e-05,0.9821451
4.5355807e-19,4.992763e-09,0.011752863,3.830095e-08,3.5519068e-19,6.821516e-12,2.7538222e-21,5.146675e-16,1.2150989e-20,8.049364e-06,0.988239
1.556818e-19,3.0876317e-09,0.008573572,4.0673978e-08,2.5854794e-19,4.1138907e-12,1.3791945e-21,3.1483447e-16,5.216017e-21,6.264948e-06,0.9914201
5.506757e-20,2.02921e-09,0.006028454,4.1612253e-08,1.6181368e-19,2.485051e-12,7.3815363e-22,1.9915227e-16,2.5622758e-21,4.7681397e-06,0.9939667
1.6419073e-20,1.2315083e-09,0.0036915638,3.9110933e-08,9.234052e-20,1.4033698e-12,3.5352068e-22,1.1876511e-16,1.2011298e-21,3.3375e-06,0.9963051
5.413857e-21,7.459182e-10,0.0025000821,3.5555594e-08,5.4283566e-20,8.2733386e-13,1.7789568e-22,7.100451e-17,6.1646105e-22,2.4917058e-06,0.99749744
