x,y
0.0,0.0
0.0,0.0
0.0,0.04761905
-86.748375,88.190475
-86.93987,88.21429
-87.13137,88.309525
-70.85408,-2.056045
-70.85408,-2.056045
-70.85408,-2.1279843
-70.66258,-2.1041746
-70.66258,-2.0803652
-70.471085,-2.032746
-70.471085,-2.1046853
-105.51513,16.442934
-105.51513,16.58579
-105.51513,16.704838
-105.51513,16.800077
-105.70663,16.919125
-105.70663,17.038172
-105.70663,17.1096
-105.70663,17.157219
-105.898125,17.228647
-105.898125,17.276268
-105.898125,17.371506
-86.55688,-58.779713
-86.55688,-58.851654
-86.36538,-58.827843
-86.36538,-58.899784
-86.36538,-58.97172
-86.55688,-58.947914
-86.748375,-58.924103
-86.55688,-58.94842
-151.85753,-36.496044
-151.85753,-36.376995
-151.85753,-36.281757
-151.85753,-36.257946
-151.85753,-36.1389
-151.85753,-36.11509
-151.85753,-36.01985
-151.85753,-35.972233
-151.85753,-35.900803
-151.85753,-35.781757
-153.58101,-21.09128
-153.58101,-21.09128
-153.58101,-20.972233
-153.58101,-20.876995
-153.7725,-20.757948
-153.964,-20.638899
-153.964,-20.496042
-153.964,-20.400805
-153.964,-20.329376
-154.1555,-20.257948
-154.1555,-20.210327
-154.1555,-20.11509
-75.833015,-55.68805
-76.02451,-56.7185
-76.21601,-56.79044
-76.21601,-56.76663
-76.21601,-56.74282
-76.21601,-56.81476
-76.40751,-56.790947
-76.40751,-56.76714
-76.40751,-56.74333
