office,conferenceRoom,hallway,auditorium,openspace,lobby,lounge,pantry,copyRoom,storage,WC
0.028847402,0.061886042,0.112955876,0.038189385,0.0324054,0.063312314,0.08145518,0.08702019,0.21066347,0.06982996,0.21343477
0.012389543,0.060409863,0.17389984,0.018074052,0.006973788,0.042289626,0.032676376,0.063363135,0.10837452,0.055061813,0.42648742
0.025769256,0.12666039,0.42061824,0.045718145,0.0040756827,0.022458058,0.006444437,0.08499991,0.013513693,0.06517254,0.18456958
0.0136161735,0.1474806,0.23431481,0.21970111,0.002191354,0.016924236,0.002676737,0.13839595,0.0047847503,0.09659548,0.123318695
0.00043928428,0.042880576,0.006129146,0.6695701,0.00030722193,0.0026621372,0.0006335921,0.21036221,0.0015844266,0.03228222,0.03314906
3.6190265e-08,0.00019964448,4.273006e-07,0.9337741,1.8355164e-05,3.4019424e-05,2.8073238e-05,0.063640155,9.3623246e-05,0.00089499285,0.0013165539
8.9705744e-13,5.069739e-07,1.6710255e-11,0.98706275,4.2647372e-07,1.2460893e-07,7.34154e-07,0.012892526,3.284234e-06,1.773051e-05,2.1934153e-05
1.4417471e-16,2.2549735e-09,2.7513314e-15,0.99829024,9.313292e-09,8.3639484e-10,1.4814401e-08,0.0017092156,1.715671e-08,3.3327143e-07,2.5348876e-07
1.1255295e-19,1.9157488e-11,1.2021631e-18,0.9996667,1.361967e-10,4.624375e-12,5.6765087e-10,0.00033331232,2.191016e-10,1.7197793e-08,3.0323501e-09
3.720288e-22,5.67506e-13,2.4514685e-21,0.9998891,4.195982e-12,5.9011484e-14,1.6521371e-11,0.00011101149,6.449323e-12,1.0432935e-09,1.6645083e-10
4.1865475e-24,3.5546876e-14,1.2512556e-23,0.9999399,2.3833848e-13,1.2684416e-15,1.1010953e-12,6.0030237e-05,5.754103e-13,1.3668858e-10,1.1546034e-11
1.6412581e-25,4.585712e-15,2.6650818e-25,0.99996704,1.7198923e-14,5.408831e-17,1.1561515e-13,3.2912656e-05,6.481972e-14,2.359316e-11,1.0586767e-12
1.009646e-26,7.701298e-16,7.9085555e-27,0.99997735,1.9849554e-15,4.3893855e-18,1.7215923e-14,2.2678358e-05,7.557879e-15,4.690501e-12,1.2320838e-13
1.2371663e-27,2.1328542e-16,5.230684e-28,0.9999796,2.747785e-16,5.380345e-19,3.663168e-15,2.0359308e-05,2.0534014e-15,1.5890226e-12,2.3752063e-14
2.7112322e-28,9.08761e-17,7.022532e-29,0.9999821,5.2886375e-17,1.0573935e-19,7.7737905e-16,1.7838702e-05,5.137417e-16,6.170933e-13,7.457186e-15
8.34844e-29,4.7735683e-17,1.3633548e-29,0.99998206,1.2275682e-17,2.5516065e-20,2.29565e-16,1.7979435e-05,1.7415952e-16,3.2126442e-13,2.659895e-15
3.4832285e-29,3.1130883e-17,4.6058908e-30,0.9999821,4.0983557e-18,8.96604e-21,8.492197e-17,1.7884217e-05,7.2500296e-17,1.910011e-13,1.311515e-15
1.7277077e-29,2.2500107e-17,1.9978162e-30,0.9999813,1.6928788e-18,3.8532016e-21,3.8977975e-17,1.8721472e-05,3.9335413e-17,1.3300473e-13,7.820995e-16
1.20132205e-29,2.0197836e-17,1.3749541e-30,0.99998,8.564999e-19,2.0842362e-21,2.07678e-17,2.0022155e-05,2.7258074e-17,1.102015e-13,5.9065926e-16
1.4712841e-29,2.4615191e-17,1.642068e-30,0.99997777,5.0628763e-19,1.3826502e-21,1.2689824e-17,2.228305e-05,1.6480594e-17,1.017622e-13,4.9544016e-16
2.0254656e-29,3.1987763e-17,2.3159872e-30,0.99997336,3.3259945e-19,1.0521578e-21,9.233778e-18,2.6743664e-05,1.3827058e-17,1.1182554e-13,4.729814e-16
2.63241e-29,4.112907e-17,3.3311945e-30,0.9999691,2.4668653e-19,8.757434e-22,6.8121984e-18,3.0817137e-05,1.2129566e-17,1.2311583e-13,4.8692626e-16
3.5604757e-29,5.5080465e-17,5.2242975e-30,0.99996305,2.0483277e-19,7.7364914e-22,5.5352573e-18,3.6948866e-05,1.1335234e-17,1.3937447e-13,5.3635084e-16
6.179752e-29,8.602139e-17,1.12268934e-29,0.999956,1.8069396e-19,7.895824e-22,4.7127176e-18,4.4007484e-05,1.1133687e-17,1.749268e-13,6.7157314e-16
1.1097667e-28,1.3816835e-16,2.485916e-29,0.9999482,1.6704512e-19,8.4425934e-22,3.99585e-18,5.183569e-05,1.0593609e-17,2.2392563e-13,8.7798395e-16
1.8604107e-28,2.1459527e-16,5.0376128e-29,0.9999378,1.5386805e-19,8.944478e-22,3.5473992e-18,6.226354e-05,1.0632961e-17,2.841244e-13,1.1215715e-15
3.0315635e-28,3.3043991e-16,1.0020937e-28,0.9999253,1.4746237e-19,9.947731e-22,3.1679423e-18,7.463727e-05,1.1609001e-17,3.6005923e-13,1.4990318e-15
4.7193503e-28,4.9148335e-16,1.9178416e-28,0.99991363,1.4345199e-19,1.1180866e-21,2.8128579e-18,8.635282e-05,1.236545e-17,4.5226287e-13,1.979209e-15
5.5651253e-28,6.493015e-16,3.2178505e-28,0.99990386,1.5044882e-19,1.3108409e-21,2.5090903e-18,9.6201424e-05,1.4233523e-17,5.5588336e-13,2.8582267e-15
6.711721e-28,8.5502883e-16,5.66295e-28,0.99989796,1.5380525e-19,1.528383e-21,2.2815395e-18,0.000102018705,1.497293e-17,6.510473e-13,3.915356e-15
8.068164e-28,1.1238456e-15,9.564821e-28,0.99988836,1.5689325e-19,1.7420557e-21,2.104974e-18,0.000111517526,1.6271015e-17,7.634007e-13,5.3229494e-15
1.0054101e-27,1.5075362e-15,1.7246866e-27,0.99988216,1.6039098e-19,2.0568682e-21,1.9424136e-18,0.00011792457,1.8031062e-17,9.267467e-13,7.500494e-15
1.1950886e-27,1.9570986e-15,2.898815e-27,0.9998771,1.6652215e-19,2.3999753e-21,1.7713626e-18,0.00012285427,1.842292e-17,1.0948045e-12,1.0176796e-14
1.4564874e-27,2.5565523e-15,5.0034512e-27,0.9998709,1.7477018e-19,2.8293404e-21,1.6676126e-18,0.00012908653,2.0010176e-17,1.3231049e-12,1.3886519e-14
1.8398386e-27,3.4286752e-15,9.01485e-27,0.9998656,1.8773222e-19,3.409661e-21,1.5472632e-18,0.00013449836,2.0963687e-17,1.5964655e-12,1.9365357e-14
2.4613656e-27,4.76048e-15,1.7544491e-26,0.99986035,2.0784581e-19,4.2319465e-21,1.4894081e-18,0.0001397006,2.2268364e-17,2.0156518e-12,2.7642251e-14
3.5756966e-27,6.95118e-15,3.736722e-26,0.9998539,2.3946737e-19,5.5551758e-21,1.4665909e-18,0.00014614062,2.3884451e-17,2.5912649e-12,4.1222275e-14
5.074805e-27,1.0037191e-14,7.669742e-26,0.9998452,2.7644976e-19,7.266074e-21,1.4466047e-18,0.00015484254,2.6647776e-17,3.3704927e-12,6.166106e-14
