x,y
0.0,0.0
0.0,0.0
0.0,0.1914975
-0.1914975,0.8617388
-0.1914975,1.0532364
-1.914975,3.925699
-2.1064727,4.2129455
-2.29797,4.308694
-2.8724627,4.404443
-3.06396,4.5001917
-3.06396,4.9789352
-3.06396,5.2661815
-3.06396,5.7449255
-3.06396,6.223669
-3.06396,6.319418
-3.06396,6.4151664
-3.06396,6.5109153
-3.06396,6.606664
-3.06396,6.702413
-3.2554576,6.7981615
-3.2554576,6.8939104
-3.2554576,6.9896593
-3.2554576,7.0854077
-3.2554576,7.1811566
-3.2554576,7.1811566
-3.2554576,7.1811566
-3.2554576,7.1811566
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.2769055
-3.06396,7.372654
-3.06396,7.468403
-3.06396,7.468403
